locality_a,locality_b,transit_time_mins
gb-eng--dorset-bournemouth,gb-eng--somerset-the-levels,80
gb-eng--wiltshire-salisbury-plain,gb-eng--dorset-jurassic-coast,80
gb-eng--dorset-jurassic-coast,gb-eng--devon-somerset-blackdowns,65
gb-eng--somerset-the-levels,gb-eng--devon-somerset-blackdowns,50
gb-eng--somerset-weston,gb-eng--devon-somerset-blackdowns,65
gb-eng--devon-somerset-blackdowns,gb-eng--devon-exeter-torquay,35
gb-eng--devon-somerset-exmoor,gb-eng--devon-somerset-blackdowns,55
gb-eng--devon-somerset-exmoor,gb-eng--devon-exeter-torquay,60
gb-eng--somerset-weston,gb-eng--devon-somerset-exmoor,75
gb-eng--somerset-the-levels,gb-eng--devon-somerset-exmoor,75
gb-eng--devon-exeter-torquay,gb-eng--devon-cornwall-plymouth-tamar-valley,45
gb-eng--devon-somerset-exmoor,gb-eng--cornwall-devon-marsland,55
gb-eng--cornwall-devon-marsland,gb-eng--devon-cornwall-plymouth-tamar-valley,70
gb-eng--devon-exeter-torquay,gb-eng--cornwall-devon-marsland,75
gb-eng--devon-cornwall-plymouth-tamar-valley,gb-eng--cornwall-cornish-riviera,48
gb-eng--cornwall-devon-marsland,gb-eng--cornwall-north-coast,65
gb-eng--cornwall-north-coast,gb-eng--cornwall-cornish-riviera,40
gb-eng--devon-cornwall-plymouth-tamar-valley,gb-eng--cornwall-north-coast,65
gb-eng--cornwall-devon-marsland,gb-eng--cornwall-cornish-riviera,70
gb-eng--cornwall-cornish-riviera,gb-eng--cornwall-camborne-truro,35
gb-eng--cornwall-north-coast,gb-eng--cornwall-camborne-truro,40
gb-eng--cornwall-camborne-truro,gb-eng--cornwall-penwith,26
gb-eng--essex-colchester,gb-eng--suffolk-ipswitch,18
gb-eng--cambridgeshire-cambridge,gb-eng--norfolk-suffolk-thetford-bury-st-edmunds,50
gb-eng--suffolk-ipswitch,gb-eng--norfolk-suffolk-thetford-bury-st-edmunds,45
