locality_a,locality_b,transit_time_mins
gb--essex-southend,gb--london-surrey-outer-south,115.0
gb--essex-southend,gb--kent-north-west-kent,115.0
gb--essex-southend,gb--london-essex-outer-north-east,100.0
gb--essex-southend,gb--london-inner-east,89.0
gb--buckinghamshire-south-buckinghamshire,gb--essex-southend,125.0
gb--essex-southend,gb--london-inner-south-west,91.0
gb--essex-southend,gb--surrey-west-sussex-east-surrey,122.0
gb--essex-southend,gb--kent-south-west-kent,122.0
gb--essex-chelmsford,gb--essex-southend,104.0
gb--essex-southend,gb--hertfordshire-essex-east-hertfordshire,120.0
gb--berkshire-reading,gb--essex-southend,113.0
gb--essex-southend,gb--london-kent-outer-south-east,105.0
gb--essex-southend,gb--essex-thurrock,110.0
gb--essex-southend,gb--london-essex-outer-east,105.0
gb--london-inner-north-west,gb--london-surrey-outer-south-west,58.0
gb--kent-medway-maidstone,gb--london-surrey-outer-south-west,109.0
gb--london-surrey-outer-south-west,gb--surrey-west-surrey,119.0
gb--london-inner-north-east,gb--london-surrey-outer-south-west,72.0
gb--london-inner-south,gb--london-surrey-outer-south-west,45.0
gb--london-hertfordshire-outer-north,gb--london-surrey-outer-south-west,76.0
gb--london-hertfordshire-buckinghamshire-outer-north-west,gb--london-surrey-outer-south-west,50.0
gb--berkshire-windsor-slough-maidenhead,gb--london-surrey-outer-south-west,109.0
gb--london-central-london,gb--london-surrey-outer-south-west,54.0
gb--london-inner-north,gb--london-surrey-outer-south-west,73.0
gb--london-surrey-outer-south,gb--london-surrey-outer-south-west,35.0
gb--kent-north-west-kent,gb--london-surrey-outer-south-west,104.0
gb--london-essex-outer-north-east,gb--london-surrey-outer-south-west,88.0
gb--london-inner-east,gb--london-surrey-outer-south-west,73.0
gb--buckinghamshire-south-buckinghamshire,gb--london-surrey-outer-south-west,114.0
gb--london-inner-south-west,gb--london-surrey-outer-south-west,28.0
gb--london-surrey-outer-south-west,gb--surrey-west-sussex-east-surrey,111.0
gb--kent-south-west-kent,gb--london-surrey-outer-south-west,111.0
gb--essex-chelmsford,gb--london-surrey-outer-south-west,93.0
gb--hertfordshire-essex-east-hertfordshire,gb--london-surrey-outer-south-west,109.0
gb--berkshire-reading,gb--london-surrey-outer-south-west,102.0
