locality_a,locality_b,transit_time_mins
gb--kent-medway-maidstone,gb--kent-north-west-kent,22.0
gb--kent-ashford,gb--kent-north-west-kent,50.0
gb--cambridgeshire-huntingdonshire,gb--kent-north-west-kent,117.0
gb--kent-north-west-kent,gb--london-inner-south,52.0
gb--kent-north-west-kent,gb--london-central-london,50.0
gb--kent-north-west-kent,gb--london-kent-outer-south-east,22.0
gb--kent-north-west-kent,gb--london-essex-outer-north-east,52.0
gb--kent-north-west-kent,gb--london-inner-south-west,70.0
gb--essex-colchester,gb--kent-north-west-kent,83.0
gb--kent-north-west-kent,gb--kent-south-west-kent,35.0
gb--kent-north-west-kent,gb--surrey-west-sussex-east-surrey,50.0
gb--essex-thurrock,gb--kent-north-west-kent,26.0
gb--kent-north-west-kent,gb--london-hertfordshire-outer-north,70.0
gb--kent-north-west-kent,gb--surrey-west-surrey,100.0
gb--kent-north-west-kent,gb--london-inner-north-west,70.0
gb--essex-southend,gb--kent-north-west-kent,61.0
gb--hertfordshire-essex-east-hertfordshire,gb--kent-north-west-kent,76.0
gb--buckinghamshire-milton-keynes,gb--kent-north-west-kent,109.0
gb--kent-north-west-kent,gb--london-buckinghamshire-berkshire-outer-west,91.0
gb--kent-north-west-kent,gb--london-inner-east,35.0
gb--london-essex-outer-east,gb--london-inner-north,46.0
gb--london-essex-outer-east,gb--london-surrey-outer-south,55.0
gb--london-essex-outer-east,gb--london-inner-west,55.0
gb--essex-chelmsford,gb--london-essex-outer-east,35.0
gb--london-essex-outer-east,gb--london-surrey-outer-south-west,90.0
gb--berkshire-windsor-slough-maidenhead,gb--london-essex-outer-east,95.0
gb--london-essex-outer-east,gb--london-hertfordshire-buckinghamshire-outer-north-west,72.0
gb--kent-medway-maidstone,gb--london-essex-outer-east,40.0
gb--kent-ashford,gb--london-essex-outer-east,75.0
gb--cambridgeshire-huntingdonshire,gb--london-essex-outer-east,105.0
gb--london-essex-outer-east,gb--london-inner-south,56.0
gb--london-central-london,gb--london-essex-outer-east,40.0
gb--london-essex-outer-east,gb--london-kent-outer-south-east,35.0
gb--london-essex-outer-east,gb--london-essex-outer-north-east,22.0
gb--london-essex-outer-east,gb--london-inner-south-west,66.0
gb--essex-colchester,gb--london-essex-outer-east,62.0
gb--kent-south-west-kent,gb--london-essex-outer-east,59.0
gb--london-essex-outer-east,gb--surrey-west-sussex-east-surrey,77.0
gb--essex-thurrock,gb--london-essex-outer-east,24.0
gb--london-essex-outer-east,gb--london-hertfordshire-outer-north,40.0
gb--london-essex-outer-east,gb--surrey-west-surrey,100.0
gb--london-essex-outer-east,gb--london-inner-north-west,52.0
gb--essex-southend,gb--london-essex-outer-east,45.0
gb--hertfordshire-essex-east-hertfordshire,gb--london-essex-outer-east,50.0
gb--buckinghamshire-milton-keynes,gb--london-essex-outer-east,99.0
gb--london-buckinghamshire-berkshire-outer-west,gb--london-essex-outer-east,80.0
gb--london-essex-outer-east,gb--london-inner-east,26.0
gb--london-inner-north,gb--london-surrey-outer-south,70.0
gb--london-inner-north,gb--london-inner-west,35.0
gb--essex-chelmsford,gb--london-inner-north,59.0
gb--london-inner-north,gb--london-surrey-outer-south-west,73.0
gb--berkshire-windsor-slough-maidenhead,gb--london-inner-north,63.0
gb--london-hertfordshire-buckinghamshire-outer-north-west,gb--london-inner-north,40.0
gb--kent-medway-maidstone,gb--london-inner-north,75.0
gb--kent-ashford,gb--london-inner-north,82.0
gb--cambridgeshire-huntingdonshire,gb--london-inner-north,87.0
gb--london-inner-north,gb--london-inner-south,35.0
gb--london-central-london,gb--london-inner-north,20.0
gb--london-inner-north,gb--london-kent-outer-south-east,52.0
gb--london-essex-outer-north-east,gb--london-inner-north,30.0
gb--london-inner-north,gb--london-inner-south-west,45.0
gb--essex-colchester,gb--london-inner-north,83.0
gb--kent-south-west-kent,gb--london-inner-north,75.0
gb--london-inner-north,gb--surrey-west-sussex-east-surrey,77.0
gb--essex-thurrock,gb--london-inner-north,58.0
gb--london-hertfordshire-outer-north,gb--london-inner-north,20.0
gb--london-inner-north,gb--surrey-west-surrey,85.0
gb--london-inner-north,gb--london-inner-north-west,18.0
gb--essex-southend,gb--london-inner-north,85.0
gb--hertfordshire-essex-east-hertfordshire,gb--london-inner-north,40.0
gb--buckinghamshire-milton-keynes,gb--london-inner-north,79.0
gb--london-buckinghamshire-berkshire-outer-west,gb--london-inner-north,46.0
gb--london-inner-east,gb--london-inner-north,28.0
gb--london-inner-west,gb--london-surrey-outer-south,47.0
gb--essex-chelmsford,gb--london-surrey-outer-south,89.0
gb--london-surrey-outer-south,gb--london-surrey-outer-south-west,35.0
gb--berkshire-windsor-slough-maidenhead,gb--london-surrey-outer-south,67.0
gb--london-hertfordshire-buckinghamshire-outer-north-west,gb--london-surrey-outer-south,69.0
gb--kent-medway-maidstone,gb--london-surrey-outer-south,65.0
gb--kent-ashford,gb--london-surrey-outer-south,90.0
gb--cambridgeshire-huntingdonshire,gb--london-surrey-outer-south,117.0
gb--london-inner-south,gb--london-surrey-outer-south,35.0
gb--london-central-london,gb--london-surrey-outer-south,50.0
gb--london-kent-outer-south-east,gb--london-surrey-outer-south,35.0
gb--london-essex-outer-north-east,gb--london-surrey-outer-south,75.0
gb--london-inner-south-west,gb--london-surrey-outer-south,35.0
gb--essex-colchester,gb--london-surrey-outer-south,113.0
gb--kent-south-west-kent,gb--london-surrey-outer-south,35.0
gb--london-surrey-outer-south,gb--surrey-west-sussex-east-surrey,22.0
gb--essex-thurrock,gb--london-surrey-outer-south,63.0
gb--london-hertfordshire-outer-north,gb--london-surrey-outer-south,83.0
gb--london-surrey-outer-south,gb--surrey-west-surrey,45.0
gb--london-inner-north-west,gb--london-surrey-outer-south,65.0
gb--essex-southend,gb--london-surrey-outer-south,98.0
gb--hertfordshire-essex-east-hertfordshire,gb--london-surrey-outer-south,101.0
gb--buckinghamshire-milton-keynes,gb--london-surrey-outer-south,109.0
gb--london-buckinghamshire-berkshire-outer-west,gb--london-surrey-outer-south,45.0
gb--london-inner-east,gb--london-surrey-outer-south,59.0
gb--essex-chelmsford,gb--london-inner-west,54.0
gb--london-inner-west,gb--london-surrey-outer-south-west,40.0
gb--berkshire-windsor-slough-maidenhead,gb--london-inner-west,40.0
gb--london-hertfordshire-buckinghamshire-outer-north-west,gb--london-inner-west,35.0
gb--kent-medway-maidstone,gb--london-inner-west,70.0
gb--kent-ashford,gb--london-inner-west,77.0
gb--cambridgeshire-huntingdonshire,gb--london-inner-west,82.0
gb--london-inner-south,gb--london-inner-west,26.0
gb--london-central-london,gb--london-inner-west,15.0
gb--london-inner-west,gb--london-kent-outer-south-east,55.0
gb--london-essex-outer-north-east,gb--london-inner-west,50.0
gb--london-inner-south-west,gb--london-inner-west,12.0
gb--essex-colchester,gb--london-inner-west,78.0
